P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
HR 8799 d,3,3178.28,-953.48401,953.48401,13.452,0,1.121,2008,14-05-2014,37000,,,24,,,,,,,,,,,,,,,609,,,,,,,,Imaging,,,,,HR 8799,346.86966,21.134251,5.953,39.4,-0.1,0.1,-0.5,,,,,,,,,A5,0.03,,,7400,,,,,4,"HD 218396, HIP 114189",15.371019,236.26821,17.563798,1.3056644,,24,24,24,24.000001,,,,,,,Jovian,,A,23.124645,23 07 28.7225,+21 08 03.3036,,,,,,,,,,,,,0,0,,0,,Pegasus,Peg,Winged Horse,13.452,3178.28,24
HR 8799 e,3,3178.28,-1271.312,2224.796,13.1157,-1.2331,1.4573,2010,27-06-2019,,,,16.4,-1.1,2.1,0.15,-0.08,0.08,25,-8,8,,,,,,,416,,,,,,,,Imaging,,,,,HR 8799,346.86966,21.134251,5.953,39.4,-0.1,0.1,-0.5,,,,,,,,,A5,0.03,,,7400,,,,,4,"HD 218396, HIP 114189",15.566836,242.32637,18.476053,1.4086975,,16.5845,13.94,18.86,16.446471,,,,,,,Jovian,,A,23.124645,23 07 28.7225,+21 08 03.3036,,,,,,,,,,,,,0,0,,0,,Pegasus,Peg,Winged Horse,13.1157,3178.28,16.4
LkCa 15 b,3,,,,,,,2015,03-12-2015,,,,14.7,-2.1,2.1,,,,50,,,,,,,,,92.5,,,,,,,,Imaging,,,,,LkCa 15,69.824148,22.350967,12.025,158.87,-1.22,1.22,,,,,,,,,,,,,,,,,,,,",",,,,,,14.7,14.7,14.7,14.7,,,,,,,,,,4.6549434,04 39 17.7964,+22 21 03.4812,,,,,,,,,,,,,0,0,,0,,Taurus,Tau,Bull,0,0,14.7
LkCa 15 c,3,,,,,,,2015,03-12-2015,,,,18.6,-2.5,2.5,,,,50,,,,,,,,,117,,,,,,,,Imaging,,,,,LkCa 15,69.824148,22.350967,12.025,158.87,-1.22,1.22,,,,,,,,,,,,,,,,,,,,",",,,,,,18.6,18.6,18.6,18.6,,,,,,,,,,4.6549434,04 39 17.7964,+22 21 03.4812,,,,,,,,,,,,,0,0,,0,,Taurus,Tau,Bull,0,0,18.6
Oph 11 b,3,4449.592,-1589.14,1906.968,,,,2006,10-03-2016,7300000,-3650000,3650000,243,-55,55,,,,,,,,,,,,,1940,,,,,,,,Imaging,,,,,Oph 11,245.60506,-24.087208,,125,-25,25,,,,0.02,-0.01,0,,,,M9,5,-2,2,2375,-175,175,,,4.25,",",,,,,147.28378,243,243,243,243.00001,1.49E-08,1.49E-08,1.49E-08,2.8124512,2.8124512,2.8124512,Jovian,0.17539407,M,16.373671,16 22 25.2170,-24 05 13.9488,0.000876946,0.024470148,0.066181801,0.030993826,0.062743057,0.032885629,0.062743057,0.029910853,0.062743057,0.079955845,0.001591674,0.12697839,0,0,Cold,0,0.072357864,Scorpius,Sco,Scorpion,12.257389,4449.592,243
PDS 70 b,3,2542.624,-1906.968,1906.968,14.573,,,2018,05-03-2019,43500,,,22,,,,,,,,,,,,,,,194,,,,,,,,Imaging,,,,,PDS 70,212.04233,-41.397939,12.233,113.43,-0.52,0.52,,,,0.76,-0.02,0.02,1.26,-0.15,0.15,K7,0.005,-0.001,0.001,3972,-36,36,,,,",",13.208898,174.47499,11.972483,0.82155236,3.2912743,22,22,22,22.000001,0.000731512,0.000731512,0.000731512,41.898671,41.898671,41.898671,Jovian,1.26,K,14.136156,14 08 10.1626,-41 23 52.5804,0.35405171,0.48290639,1.2239797,0.6116757,1.160432,0.64812622,1.160432,0.59047953,1.160432,1.6065606,0.083176206,0.13499707,0,0,Cold,0,0.062792191,Centaurus,Cen,Centaur,14.573,2542.624,22
PDS 70 c,3,3333.8537,-1666.9252,1666.9252,,,,2019,13-06-2019,,,,34.5,-2,2,,,,49.7,,,,,,,,,304,,,,,,,,Imaging,,,,,PDS 70,212.04233,-41.397939,12.233,113.43,-0.52,0.52,,,,0.76,-0.02,0.02,1.26,-0.15,0.15,K7,0.005,-0.001,0.001,3972,-36,36,,,,",",,,,,5.6491351,34.5,34.5,34.5,34.500001,0.00029746,0.00029746,0.00029746,33.458159,33.458159,33.458159,Jovian,1.26,K,14.136156,14 08 10.1626,-41 23 52.5804,0.35405171,0.48290639,1.2239797,0.6116757,1.160432,0.64812622,1.160432,0.59047953,1.160432,1.6065606,0.083176206,0.13499707,0,0,Cold,0,0.071871095,Centaurus,Cen,Centaur,12.414076,3333.8537,34.5
ROXs 12 b,3,5085.248,-1271.312,1271.312,,,,2013,14-05-2014,,,,210,-20,20,,,,,,,,,,,,,1750,,,,,,,,Imaging,,,,,ROXs 12,246.61561,-25.456865,15.595,120,-10,10,,,,0.87,-0.08,0.08,,,,M0,0.008,-0.025,0.004,3850,-70,100,,,,",",,,,,37.838636,210,210,210,210.00001,,,,,,,Jovian,,M,16.441041,16 26 27.7492,-25 27 24.7140,,,,,,,,,,,0.070557189,0.15272597,0,0,,0,,Scorpius,Sco,Scorpion,12.185583,5085.248,210
ROXs 42 B b,3,2860.452,-953.48401,953.48401,,,,2013,14-05-2014,,,,157,,,,,,,,,,,,,,,1160,,,,,,,,Imaging,,,,,ROXs 42 B,247.81257,-24.545471,,135,,,,,,1,,,,,,M0,0.003,-0.003,0.003,,,,,,,",",,,,,22.292722,157,157,157,157,,,,,,,Jovian,,M,16.520839,16 31 15.0192,-24 32 43.6956,,,,,,,,,,,,0.13585586,0,0,,0,,Ophiuchus,Oph,Serpent Holder,12.498012,2860.452,157
Ross 458 c,3,1997.6634,,,13.6762,,,2010,14-05-2014,,,,1168,,,,,,,,,,,,,,,101000,,,,,,,,Imaging,,,,,Ross 458,195.19409,12.375724,9.72,11.51,-0.02,0.02,,,,0.49,,,0.63,,,M0.5,,,,3621,,,,,,", HIP 63510",12.085884,146.0686,10.680496,0.78095495,186.63946,1168,1168,1168,1168,4.48E-08,4.48E-08,4.48E-08,3.7067598,3.7067598,3.7067598,Jovian,0.63,M,13.01294,13 00 46.5845,+12 22 32.6064,0.061134145,0.20190386,0.52080573,0.25574108,0.49376277,0.27109294,0.49376277,0.24686415,0.49376277,0.66758365,0.03931629,0.36370546,0,0,Cold,0,0.065649815,Virgo,Vir,Virgin,13.6762,1997.6634,1168
SR 12 AB c,3,4131.764,-2224.796,2224.796,,,,2010,14-05-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,Imaging,,,,,SR 12 AB,246.8313,-24.694553,13.265,112.32,-5.41,5.41,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,Jovian,,,16.455421,16 27 19.5151,-24 41 40.3908,,,,,,,,,,,,,0,0,,0,,Ophiuchus,Oph,Serpent Holder,12.297422,4131.764,
USco CTIO 108 b,3,4449.592,-2542.624,635.65601,,,,2008,14-05-2015,,,,670,,,,,,,,,,,,,,,4640,,,,,,,,Imaging,,,,,USco CTIO 108,241.47532,-18.312332,,144.29,-5.02,5.02,,,,0.06,-0.02,0.02,,,,M7,,,,2700,-100,100,,,,",",,,,,281.56782,670,670,670,670.00002,,,,,,,Jovian,,M,16.098356,16 05 54.0798,-18 18 44.3952,,,,,,,,,,,0.004012203,0.18060712,0,0,,0,,Scorpius,Sco,Scorpion,12.257389,4449.592,670
VHS J125601.92-125723.9 b,3,3559.6736,-572.09041,3082.9316,,,,2015,14-05-2015,,,,102,-9,9,,,,,,,,,,,,,8030,,,,,,,,Imaging,,,,,VHS J125601.92-125723.9,194.00896,-12.956031,17.759,12.7,-1,1,,,,0.07,-0.01,0.02,,,,M7.5,0.225,-0.075,0.075,2620,-140,140,,,5.05,",",,,,,37.799795,102,102,102,102,6.92E-08,6.92E-08,6.92E-08,4.1327843,4.1327843,4.1327843,Jovian,0.1306318,M,12.933932,12 56 02.1538,-12 57 21.7116,0.00072043,0.02217223,0.05991693,0.02808332,0.056803757,0.029797065,0.056803757,0.027102174,0.056803757,0.072470223,0.003681367,0.11497972,0,0,Cold,0,0.071733456,Corvus,Crv,Crow,12.378328,3559.6736,102
WD 0806-661 b,3,2383.71,-476.742,476.742,,,,2011,14-05-2014,,,,2500,,,,,,,,,,,,,,,130000,,,,,,,,Imaging,,,,,WD 0806-661,121.7239,-66.30465,,19.2,-0.6,0.6,,,,0.62,-0.03,0.03,,,,,1.5,-0.3,0.5,,,,,,,",",,,,,391.75313,2500,2500,2500,2500.0001,,,,,,,Jovian,,,8.1149272,08 06 53.7380,-66 18 16.7400,,,,,,,,,,,,0.32636527,0,0,,0,,Volans,Vol,Flying Fish,12.598676,2383.71,2500
WISEP J121756.91+162640.2 A b,3,6992.2161,-635.65601,635.65601,10.47014,-0.32509,0.32509,2012,14-05-2014,,,,8,-1.3,1.3,,,,,,,,,,,,,792,,,,,,,,Imaging,,,,,WISEP J121756.91+162640.2 A,184.48712,16.4445,,10.1,-1.4,1.9,,,,0.03,-0.01,0.01,0.09,0,0,T8.5,6,-2,2,575,-25,25,,,5,",",25.842301,667.8245,63.783722,6.0919646,4.9246241,8,8,8,8.0000002,1.24E-08,1.24E-08,1.24E-08,2.6881975,2.6881975,2.6881975,Jovian,0.09,,12.299142,12 17 56.9123,+16 26 40.2000,7.93E-07,0.000735991,0.001990557,0.000932205,0.00188713,0.000989105,0.00188713,0.000899632,0.00188713,0.002404841,8.27E-05,0.14983863,0,0,Cold,0,0.083028968,Coma Berenices,Com,Berenice's Hair,10.47014,6992.2161,8
bet Pic b,3,,,,,,,2008,13-08-2015,7665,-730,7300,9.1,-0.5,5.3,0.08,-0.06,0.32,88.9,-0.7,0.7,-8,-94,93,,,,461,,,,,,,,Imaging,,,,,bet Pic,86.821198,-51.066513,3.85,19.75,-0.13,0.13,,,,1.76,-0.17,0.18,,,,A5 V,,,,,,,,,,"HD 39060, HIP 27321",,,,,,9.12912,8.372,9.828,9.1072963,,,,,,,,,A,5.7880802,05 47 17.0886,-51 03 59.4468,,,,,,,,,,,,0.5570002,0,0,,0,,Pictor,Pic,Painter's Easel,0,0,9.1
kap And b,3,4327.5461,-332.76592,7323.3928,,,,2012,14-05-2014,,,,55,-2,2,,,,,,,,,,,,,1100,,,,,,,,Imaging,,,,,kap And,355.10211,44.333931,4.14,50.06,-0.86,0.86,-0.36,-0.09,0.09,2.6,-0.2,0.2,,,,B9 IV,0.03,-0.01,0.12,10900,-300,300,,,3.78,"HD 222439, HIP 116805",,,,,6.5198463,55,55,55,55.000001,0.049344915,0.049344915,0.049344915,120.07581,120.07581,120.07581,Jovian,3.4354733,B,23.673475,23 40 24.5113,+44 20 02.1516,149.26837,8.472042,19.524269,10.730512,18.510824,11.334994,18.510824,10.356251,18.510824,32.987368,18499.398,0.27420129,0,0,Cold,0,0.12191204,Andromeda,And,Andromeda,12.272398,4327.5461,55
