P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
CHXR 73 b,3,3994.7802,-1664.4653,2663.0808,,,,2006,14-05-2014,,,,210,,,,,,,,,,,,,,,1100,,,,,,,,Imaging,,,,,CHXR 73,166.61989,-77.625877,,191.05,-6.42,6.42,,,,0.35,,,,,,M3.5,0.002,,,,,,,,,",",,,,,47.294735,210,210,210,210.00001,,,,,,,Jovian,,M,11.107993,11 06 28.7764,-77 37 33.1572,,,,,,,,,,,,0.089485465,0,0,,0,,Chamaeleon,Cha,Chameleon,12.31568,3994.7802,210
CT Cha b,3,5403.076,-1906.968,1906.968,24.662,-6.726,9.0801,2007,14-05-2014,,,,440,,,,,,,,,,,,,,,2670,,,,,,,,Imaging,,,,,CT Cha,166.03788,-76.455383,,165,-30,30,,,,,,,,,,K5e,0.002,-0.002,0.002,,,,,,,",",14.801523,219.08507,8.8835079,0.36021036,,440,440,440,440.00001,,,,,,,Jovian,,K,11.069192,11 04 09.0926,-76 27 19.3788,,,,,,,,,,,,,0,0,,0,,Chamaeleon,Cha,Chameleon,24.662,5403.076,440
DH Tau b,3,3496.108,-953.48401,3178.28,,,,2004,14-05-2014,,,,330,,,,,,,,,,,,,,,2360,,,,,,,,Imaging,,,,,DH Tau,67.423158,26.54952,,140,-15,15,,,,0.33,,,0.27,-0.07,0.07,M0.5,0.001,,,,,,,,,",",,,,,72.497461,330,330,330,330.00001,,,,,,,Jovian,0.27,M,4.4948774,04 29 41.5588,+26 32 58.2720,,,,,,,,,,,,0.078174083,0,0,,0,,Taurus,Tau,Bull,12.388146,3496.108,330
FU Tau b,3,5085.248,,,,,,2008,10-03-2016,,,,800,,,,,,,,,,,,,,,5710,,,,,,,,Imaging,,,,,FU Tau,65.898908,25.049898,,140,,,,,,0.05,,,,,,M7.25,0.001,,,2838,,,,,,",",,,,,373.52751,800,800,800,800.00002,,,,,,,Jovian,,M,4.3932608,04 23 35.7387,+25 02 59.6328,,,,,,,,,,,0.004785788,0.041675563,0,0,,0,,Taurus,Tau,Bull,12.185583,5085.248,800
Fomalhaut b,3,,,,,,,2008,19-11-2015,555530,-353320,184690,160,-79,33,0.87,-0.05,0.11,55,-12,26,-148,,,2423055.5,-4380,8030,20800,,,,,,,,Imaging,,,,,Fomalhaut,344.41269,-29.622236,1.16,7.7,,,,,,1.92,,,,,,A3 V,,,,,,,,,,"HD 216956, HIP 113368",,,,,,220.552,20.8,299.2,181.43677,,,,,,,,,A,22.960847,22 57 39.0497,-29 37 20.0496,,,,,,,,,,,,0.57339188,0,0,,0,,Piscis Austrinus,PsA,Southern Fish,0,0,160
GJ 504 b,3,1271.312,-317.828,1430.226,,,,2013,14-05-2014,,,,43.5,,,,,,,,,,,,,,,2480,,,,,,,,Imaging,,,,,GJ 504,199.19382,9.424156,5.22,17.54,-0.08,0.08,0.28,-0.03,0.03,1.22,-0.08,0.08,,,,G0 V,0.16,-0.06,0.35,6234,-25,25,,,4.6,"HD 115383, HIP 64792",,,,,4.411354,43.5,43.5,43.5,43.500001,0.000599428,0.000599428,0.000599428,39.863842,39.863842,39.863842,Jovian,0.91554525,G,13.279588,13 16 46.5186,+09 25 26.9616,1.1342674,0.77740393,1.8126648,0.98466599,1.7185714,1.0408333,1.7185714,0.95043766,1.7185714,2.8755539,4.7449687,0.28164244,0,0,Cold,0,0.069554746,Virgo,Vir,Virgin,12.952003,1271.312,43.5
GQ Lup b,3,6356.5601,,,33.63,-5.605,5.605,2004,14-05-2014,,,,100,,,,,,,,,,,,,,,659,,,,,,,,Imaging,,,,,GQ Lup,237.30043,-35.651421,12.43,151.82,-1.09,1.09,,,,0.7,,,,,,K7e V,0.001,-0.001,0.001,,,,,,,",",13.748257,189.01457,5.6204154,0.16712505,20.868597,100,100,100,100,,,,,,,Jovian,,K,15.820029,15 49 12.1055,-35 39 05.1156,,,,,,,,,,,,0.10044404,0,0,,0,,Lupus,Lup,Wolf,33.63,6356.5601,100
GSC 06214-00210 b,3,5085.248,-317.828,317.828,,,,2010,01-04-2015,,,,320,-30,30,,,,,,,,,,,,,2210,,,,,,,,Imaging,,,,,GSC 06214-00210,245.47778,-20.719202,12.375,145,-14,14,,,,0.9,-0.1,0.1,,,,K7,0.005,,,4200,-150,150,,,,",",,,,,57.010967,320,320,320,320.00001,,,,,,,Jovian,,K,16.365186,16 21 54.6703,-20 43 09.1272,,,,,,,,,,,0.1301938,0.14282382,0,0,,0,,Scorpius,Sco,Scorpion,12.185583,5085.248,320
GU Psc b,3,3591.4564,-540.3076,540.3076,14.18065,-1.28915,1.28915,2014,14-05-2014,,,,2000,-200,200,,,,,,,,,,,,,41700,,,,,,,,Imaging,,,,,GU Psc,18.146006,17.065475,13.55,48,-5,5,0.1,-0.13,0.13,0.33,-0.03,0.03,,,,M3,0.1,-0.03,0.03,,,,,,,",",15.914289,253.26458,17.859871,1.2594536,443.33713,2000,2000,2000,2000.0001,,,,,,,Jovian,,M,1.2097338,01 12 35.0417,+17 03 55.7100,,,,,,,,,,,,0.16842096,0,0,,0,,Pisces,Psc,Fishes,14.18065,3591.4564,2000
HD 100546 b,3,,,,77.349,-32.509,30.267,2014,14-05-2015,,,,53,-2,2,,,,,,,,,,,,,482,,,,,,,,Imaging,,,,,HD 100546,173.356,-70.194786,6.704,110.02,-0.62,0.62,,,,2.4,-0.1,0.1,,,,B9 Vne,0.005,-0.004,0.004,10500,,,,,,"HD 100546, HIP 56379",,,,,,53,53,53,53.000001,,,,,,,Jovian,,B,11.557067,11 33 25.4429,-70 11 41.2296,,,,,,,,,,,9059.8925,0.19805702,0,0,,0,,Musca,Mus,Fly,77.349,1000,53
