P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
MOA-bin-1L b,3,1175.9636,-667.43881,667.43881,,,,2012,14-05-2014,,,,8.3,-2.7,4.5,,,,,,,,,,,,,1.63,,,,,,,,Microlensing,,,,,MOA-bin-1L,261.7925,-29.793972,,5100,-1900,1200,,,,0.75,-0.41,0.33,,,,,,,,,,,,,,",",,,,,0.96451173,8.3,8.3,8.3,8.3000002,,,,,,,Jovian,,,17.452834,17 27 10.2033,-29 47 38.2992,,,,,,,,,,,,0.419152,0,0,,0,,Ophiuchus,Oph,Serpent Holder,12.99651,1175.9636,8.3
OGLE-2003-BLG-235L b,3,826.35281,-190.6968,254.2624,,,,2004,25-02-2016,,,,4.3,-0.8,2.5,,,,,,,,,,,,,0.741,,,,,,,,Microlensing,,,,,OGLE-2003-BLG-235L,271.31813,-28.895,,5800,-700,600,,,,0.63,-0.09,0.07,,,,K V,,,,,,,,,,",",,,,,0.47082768,4.3,4.3,4.3,4.3000001,,,,,,,Jovian,,K,18.087876,18 05 16.3534,-28 53 42.0000,,,,,,,,,,,,0.39548618,0,0,,0,,Sagittarius,Sgr,Archer,13.199843,826.35281,4.3
OGLE-2005-BLG-071L b,3,1207.7464,-127.1312,127.1312,,,,2005,29-10-2014,,,,3.6,-0.2,0.2,,,,,,,,,,,,,1.12,,,,,,,,Microlensing,,,,,OGLE-2005-BLG-071L,267.54071,-34.673194,,3200,-400,400,,,,0.46,-0.04,0.04,,,,,,,,,,,,,,",",,,,,0.49677572,3.6,3.6,3.6,3.6000001,,,,,,,Jovian,,,17.836048,17 50 09.7733,-34 40 23.4984,,,,,,,,,,,,0.35612604,0,0,,0,,Scorpius,Sco,Scorpion,12.981268,1207.7464,3.6
OGLE-2005-BLG-169L b,3,14.09885,-0.89945325,0.89945325,,,,2006,19-11-2015,,,,3.5,-0.3,0.3,,,,,,,,,,,,,0.854,,,,,,,,Microlensing,,,,,OGLE-2005-BLG-169L,271.52217,-30.732639,,4100,-400,400,,,,0.69,-0.02,0.02,,,,K5,,,,,,,,,,",",,,,,0.095711644,3.5,3.5,3.5,3.5000001,,,,,,,Neptunian,,K,18.101479,18 06 05.3235,-30 43 57.5004,,,,,,,,,,,,0.40766256,0,0,,0,,Sagittarius,Sgr,Archer,3.8401165,14.09885,3.5
OGLE-2005-BLG-390L b,3,5.403076,-2.542624,5.403076,,,,2005,29-10-2014,3285,-1095,3285,2.6,-0.6,1.5,,,,,,,,,,,,,0.394,,,,,,,,Microlensing,,,,,OGLE-2005-BLG-390L,268.57996,-30.377306,,6600,-1000,1000,,,,0.22,-0.11,0.21,,,,,,,,,,,,,,",",,,,,0.07559586,2.6,2.6,2.6,2.6000001,,,,,,,Superterran,,,17.905331,17 54 19.1933,-30 22 38.3016,,,,,,,,,,,,0.27850009,0,0,,0,,Scorpius,Sco,Scorpion,2.182734,5.403076,2.6
OGLE-2006-BLG-109L b,3,232.01444,-19.06968,19.06968,,,,2008,05-11-2014,1788.5,-547.5,584,2.3,-0.5,0.5,,,,,,,,,,,,,1.52,,,,,,,,Microlensing,,,,,OGLE-2006-BLG-109L,268.14379,-30.087778,,1510,-120,110,,,,0.51,-0.04,0.05,,,,,,,,,,,,,,",",,,,,0.1769408,2.3,2.3,2.3,2.3000001,,,,,,,Jovian,,,17.876254,17 52 34.5134,-30 05 16.0008,,,,,,,,,,,,0.36858799,0,0,,0,,Scorpius,Sco,Scorpion,13.958585,232.01444,2.3
OGLE-2006-BLG-109L c,3,85.813561,-6.3565601,6.3565601,,,,2008,05-11-2014,4927.5,-1752,3540.5,4.5,-1,2.1,0.15,-0.1,0.17,64,-7,4,,,,,,,2.98,,,,,,,,Microlensing,,,,,OGLE-2006-BLG-109L,268.14379,-30.087778,,1510,-120,110,,,,0.51,-0.04,0.05,,,,,,,,,,,,,,",",,,,,0.21122495,4.550625,3.825,5.175,4.5127512,,,,,,,Jovian,,,17.876254,17 52 34.5134,-30 05 16.0008,,,,,,,,,,,,0.36858799,0,0,,0,,Scorpius,Sco,Scorpion,11.126015,85.813561,4.5
OGLE-2007-BLG-349L AB c,3,80.000487,-12.999165,12.999165,,,,2016,29-09-2016,2557,,,2.59,-0.34,0.43,,,,,,,,,,,,,0.938,,,,,,,,Microlensing,,,,,OGLE-2007-BLG-349L A,271.35181,-26.421944,,2760,-380,380,,,,0.41,-0.07,0.07,,,,M,,,,,,,,,,",",,,,,0.15026387,2.59,2.59,2.59,2.5900001,,,,,,,Jovian,,M,18.090121,18 05 24.4371,-26 25 18.9984,,,,,,,,,,,,0.34272497,0,0,,0,,Sagittarius,Sgr,Archer,10.67571,80.000487,2.59
OGLE-2007-BLG-368L b,3,19.06968,-9.5348401,6.3565601,,,,2009,05-11-2014,,,,3.3,-0.8,1.4,,,,,,,,,,,,,0.559,,,,,,,,Microlensing,,,,,OGLE-2007-BLG-368L,269.10817,-32.237417,17.71,5900,-1400,900,,,,0.64,-0.26,0.21,,,,,,,,,,,,,,",",,,,,0.10233408,3.3,3.3,3.3,3.3000001,,,,,,,Neptunian,,,17.940545,17 56 25.9634,-32 14 14.7012,,,,,,,,,,,,0.39756772,0,0,,0,,Scorpius,Sco,Scorpion,4.5877261,19.06968,3.3
OGLE-2008-BLG-092L b,3,57.209041,,,,,,2014,29-10-2014,,,,18,,,,,,,,,,,,,,,2.22,,,,,,,,Microlensing,,,,,OGLE-2008-BLG-092L,266.87258,-34.726556,,8100,,,,,,0.71,,,,,,,,,,,,,,,,",",,,,,0.77766606,18,18,18,18,,,,,,,Jovian,,,17.791506,17 47 29.4233,-34 43 35.6016,,,,,,,,,,,,0.41156387,0,0,,0,,Scorpius,Sco,Scorpion,8.7623758,57.209041,18
OGLE-2008-BLG-355L b,3,1462.0088,-699.22161,1175.9636,,,,2014,11-06-2014,,,,1.7,-0.3,0.29,,,,,,,,,,,,,0.25,,,,,,,,Microlensing,,,,,OGLE-2008-BLG-355L,269.78671,-30.759472,,6800,-1100,1100,,,,0.37,-0.17,0.3,,,,,,,,,,,,,,",",,,,,0.26883361,1.7,1.7,1.7,1.7,,,,,,,Jovian,,,17.985781,17 59 08.8133,-30 45 34.0992,,,,,,,,,,,,0.33119596,0,0,,0,,Sagittarius,Sgr,Archer,12.8726,1462.0088,1.7
OGLE-2011-BLG-0173L b,3,60.387321,-34.96108,57.209041,,,,2018,26-10-2018,,,,8,,,,,,,,,,,,,,,1.31,,,,,,,,Microlensing,,,,,OGLE-2011-BLG-0173L,269.31574,-28.233862,,6100,-1700,1300,,,,0.41,-0.21,0.3,,,,,,,,,,,,,,",",,,,,0.42259967,8,8,8,8.0000002,,,,,,,Jovian,,,17.954383,17 57 15.7798,-28 14 01.9032,,,,,,,,,,,,0.34272497,0,0,,0,,Sagittarius,Sgr,Archer,9.0459099,60.387321,8
OGLE-2011-BLG-0251L b,3,168.44884,-66.743881,66.743881,,,,2012,14-05-2014,,,,2.72,-0.75,0.75,,,,,,,,,,,,,1.06,,,,,,,,Microlensing,,,,,OGLE-2011-BLG-0251L,264.55908,-27.136139,,2570,-610,610,,,,0.26,-0.11,0.11,,,,M,,,,,,,,,,",",,,,,0.23542487,2.72,2.72,2.72,2.7200001,,,,,,,Jovian,,M,17.637273,17 38 14.1832,-27 08 10.1004,,,,,,,,,,,,0.2944482,0,0,,0,,Ophiuchus,Oph,Serpent Holder,14.156616,168.44884,2.72
OGLE-2011-BLG-0265L b,3,279.68864,-57.209041,85.813561,,,,2015,05-03-2015,,,,1.89,-0.2,0.25,,,,,,,,,,,,,0.431,,,,,,,,Microlensing,,,,,OGLE-2011-BLG-0265L,269.44883,-27.394528,,4380,-450,510,,,,0.21,-0.04,0.07,,,,,,,,,,,,,,",",,,,,0.20800105,1.89,1.89,1.89,1.89,,,,,,,Jovian,,,17.963256,17 57 47.7233,-27 23 40.3008,,,,,,,,,,,,0.2742148,0,0,,0,,Sagittarius,Sgr,Archer,13.844279,279.68864,1.89
OGLE-2012-BLG-0026L b,3,46.08506,-2.6061896,2.6061896,,,,2012,07-07-2016,,,,4,-0.5,0.5,,,,,,,,,,,,,0.995,,,,,,,,Microlensing,,,,,OGLE-2012-BLG-0026L,263.57792,-27.14275,,4019,-380,380,,,,1.06,-0.05,0.05,,,,G5 V,5,-1,1,,,,,,,",",,,,,0.14069002,4,4,4,4.0000001,,,,,,,Neptunian,,G,17.571862,17 34 18.7034,-27 08 33.9000,,,,,,,,,,,,0.47696714,0,0,,0,,Ophiuchus,Oph,Serpent Holder,7.7145772,46.08506,4
OGLE-2012-BLG-0026L c,3,273.33208,-19.06968,19.06968,,,,2012,07-07-2016,,,,4.8,-0.7,0.7,,,,,,,,,,,,,1.19,,,,,,,,Microlensing,,,,,OGLE-2012-BLG-0026L,263.57792,-27.14275,,4019,-380,380,,,,1.06,-0.05,0.05,,,,G5 V,5,-1,1,,,,,,,",",,,,,0.30560094,4.8,4.8,4.8,4.8000001,,,,,,,Jovian,,G,17.571862,17 34 18.7034,-27 08 33.9000,,,,,,,,,,,,0.47696714,0,0,,0,,Ophiuchus,Oph,Serpent Holder,13.858291,273.33208,4.8
OGLE-2012-BLG-0358L b,3,587.98181,-60.387321,60.387321,,,,2013,14-05-2014,,,,0.87,-0.03,0.03,,,,,,,,,,,,,0.494,,,,,,,,Microlensing,,,,,OGLE-2012-BLG-0358L,265.69488,-24.261,,1760,-130,130,,,,0.02,0,0,,,,,,,,,,,,,,",",,,,,0.26858543,0.87,0.87,0.87,0.87000002,,,,,,,Jovian,,,17.712993,17 42 46.7733,-24 15 39.6000,,,,,,,,,,,,0.12522598,0,0,,0,,Ophiuchus,Oph,Serpent Holder,13.39899,587.98181,0.87
OGLE-2012-BLG-0406L b,3,867.67045,-136.66604,136.66604,,,,2013,14-05-2014,,,,3.45,-0.26,0.26,,,,,,,,,,,,,0.694,,,,,,,,Microlensing,,,,,OGLE-2012-BLG-0406L,268.32571,-30.471167,,4970,-290,290,,,,0.44,-0.07,0.07,,,,,,,,,,,,,,",",,,,,0.43275127,3.45,3.45,3.45,3.4500001,,,,,,,Jovian,,,17.888381,17 53 18.1733,-30 28 16.2012,,,,,,,,,,,,0.35088813,0,0,,0,,Scorpius,Sco,Scorpion,13.171536,867.67045,3.45
OGLE-2012-BLG-0563L b,3,123.95292,-73.100441,44.49592,,,,2015,13-08-2015,,,,0.9,-0.5,0.52,,,,,,,,,,,,,0.692,,,,,,,,Microlensing,,,,,OGLE-2012-BLG-0563L,271.4905,-27.712,,1300,-800,600,,,,0.34,-0.2,0.12,,,,,,,,,,,,,,",",,,,,0.064311257,0.9,0.9,0.9,0.90000002,,,,,,,Jovian,,,18.099368,18 05 57.7234,-27 42 43.2000,,,,,,,,,,,,0.32199127,0,0,,0,,Sagittarius,Sgr,Archer,13.816671,123.95292,0.9
OGLE-2012-BLG-0724L b,3,149.37916,-82.635281,171.62712,,,,2016,28-04-2016,,,,1.6,-0.3,0.4,,,,,,,,,,,,,0.239,,,,,,,,Microlensing,,,,,OGLE-2012-BLG-0724L,268.96829,-29.818528,,6700,-1200,1100,,,,0.29,-0.16,0.33,,,,M V,,,,,,,,,,",",,,,,0.12829287,1.6,1.6,1.6,1.6,,,,,,,Jovian,,M,17.93122,17 55 52.3934,-29 49 06.7008,,,,,,,,,,,,0.3053635,0,0,,0,,Sagittarius,Sgr,Archer,14.231651,149.37916,1.6
OGLE-2012-BLG-0950L b,3,34.99922,-9.000889,17.00062,,,,2016,03-11-2016,,,,2.7,-0.7,0.6,,,,,,,,,,,,,0.9,,,,,,,,Microlensing,,,,,OGLE-2012-BLG-0950L,272.01926,-29.731583,,3000,-1100,800,,,,0.56,-0.16,0.12,,,,M V,,,,,,,,,,",",,,,,0.10717802,2.7,2.7,2.7,2.7000001,,,,,,,Neptunian,,M,18.134618,18 08 04.6251,-29 43 53.6988,,,,,,,,,,,,0.38025984,0,0,,0,,Sagittarius,Sgr,Archer,6.5603285,34.99922,2.7
OGLE-2013-BLG-0102L b,3,3994.7802,-665.84967,665.84967,,,,2014,29-01-2015,,,,0.8,-0.08,0.08,,,,,,,,,,,,,0.263,,,,,,,,Microlensing,,,,,OGLE-2013-BLG-0102L,268.0295,-31.690583,,3040,-310,310,,,,0.1,-0.01,0.01,,,,,,,,,,,,,,",",,,,,0.27355176,0.8,0.8,0.8,0.80000002,,,,,,,Jovian,,,17.868634,17 52 07.0834,-31 41 26.0988,,,,,,,,,,,,0.21413342,0,0,,0,,Scorpius,Sco,Scorpion,12.31568,3994.7802,0.8
OGLE-2013-BLG-0132L b,3,92.170121,-41.31764,50.85248,,,,2017,26-10-2017,,,,3.6,-1.2,1.4,,,,,,,,,,,,,0.923,,,,,,,,Microlensing,,,,,OGLE-2013-BLG-0132L,269.76462,-28.421028,,3900,-1300,1500,,,,0.54,-0.23,0.3,,,,,,,,,,,,,,",",,,,,0.19974987,3.6,3.6,3.6,3.6000001,,,,,,,Jovian,,,17.984309,17 59 03.5117,-28 25 15.7008,,,,,,,,,,,,0.37567795,0,0,,0,,Sagittarius,Sgr,Archer,11.604296,92.170121,3.6
OGLE-2013-BLG-0341L B b,3,2.3201444,-0.2542624,0.2542624,,,,2014,09-07-2014,,,,0.883,-0.043,0.043,,,,,,,,,,,,,0.761,,,,,,,,Microlensing,,,,,OGLE-2013-BLG-0341L B,268.03121,-29.846111,,1161,-93,93,,,,0.15,-0.01,0.01,,,,,,,,,,,,,,",",,,,,0.022006644,0.883,0.883,0.883,0.88300002,,,,,,,Terran,,,17.868748,17 52 07.4933,-29 50 45.9996,,,,,,,,,,,,0.24512158,0,0,,0,,Sagittarius,Sgr,Archer,1.326672,2.3201444,0.883
OGLE-2013-BLG-1721L b,3,203.40992,-98.526681,111.2398,,,,2017,26-10-2017,,,,2.6,-0.7,0.5,,,,,,,,,,,,,0.413,,,,,,,,Microlensing,,,,,OGLE-2013-BLG-1721L,268.12656,-30.292694,,6300,-1600,1100,,,,0.46,-0.23,0.26,,,,,,,,,,,,,,",",,,,,0.19813597,2.6,2.6,2.6,2.6000001,,,,,,,Jovian,,,17.875105,17 52 30.3768,-30 17 33.6984,,,,,,,,,,,,0.35612604,0,0,,0,,Scorpius,Sco,Scorpion,14.039631,203.40992,2.6
OGLE-2013-BLG-1761L b,3,858.13561,-476.742,794.57001,,,,2018,01-11-2018,,,,1.8,-0.5,0.5,,,,,,,,,,,,,0.261,,,,,,,,Microlensing,,,,,OGLE-2013-BLG-1761L,268.40949,-28.895271,,6900,-1200,1000,,,,0.33,-0.19,0.32,,,,,,,,,,,,,,",",,,,,0.24759301,1.8,1.8,1.8,1.8,,,,,,,Jovian,,,17.893967,17 53 38.2798,-28 53 42.9756,,,,,,,,,,,,0.31880303,0,0,,0,,Sagittarius,Sgr,Archer,13.177942,858.13561,1.8
OGLE-2014-BLG-0124L b,3,162.09228,-50.85248,50.85248,,,,2015,12-02-2015,,,,3.11,-0.49,0.49,,,,,,,,,,,,,0.758,,,,,,,,Microlensing,,,,,OGLE-2014-BLG-0124L,270.62171,-28.39625,,4100,-590,590,,,,0.71,-0.22,0.22,,,,,,,,,,,,,,",",,,,,0.19012837,3.11,3.11,3.11,3.1100001,,,,,,,Jovian,,,18.041448,18 02 29.2133,-28 23 46.5000,,,,,,,,,,,,0.41156387,0,0,,0,,Sagittarius,Sgr,Archer,14.180596,162.09228,3.11
OGLE-2014-BLG-0676L b,3,982.08853,-355.96736,324.18456,,,,2016,21-12-2016,,,,4.4,-1.46,2.16,,,,,,,,,,,,,1.98,,,,,,,,Microlensing,,,,,OGLE-2014-BLG-0676L,268.10208,-30.548389,,2220,-830,960,,,,0.62,-0.22,0.2,,,,,,,,,,,,,,",",,,,,0.51304746,4.4,4.4,4.4,4.4000001,,,,,,,Jovian,,,17.873473,17 52 24.5028,-30 32 54.2004,,,,,,,,,,,,0.39338249,0,0,,0,,Scorpius,Sco,Scorpion,13.099943,982.08853,4.4
OGLE-2014-BLG-1722L b,3,55.298894,-33.098608,51.300618,,,,2018,21-06-2018,,,,1.9,-0.8,1.3,,,,,,,,,,,,,0.297,,,,,,,,Microlensing,,,,,OGLE-2014-BLG-1722L,268.75238,-31.469055,,6400,-1870,1280,,,,0.4,-0.24,0.36,,,,,,,,,,,,,,",",,,,,0.098270754,1.9,1.9,1.9,1.9,,,,,,,Jovian,,,17.916826,17 55 00.5746,-31 28 08.5980,,,,,,,,,,,,0.33991562,0,0,,0,,Scorpius,Sco,Scorpion,8.5888529,55.298894,1.9
OGLE-2014-BLG-1722L c,3,83.700005,-51.198913,86.398364,,,,2018,21-06-2018,,,,2.5,-1.1,2.2,,,,,,,,,,,,,0.391,,,,,,,,Microlensing,,,,,OGLE-2014-BLG-1722L,268.75238,-31.469055,,6400,-1870,1280,,,,0.4,-0.24,0.36,,,,,,,,,,,,,,",",,,,,0.14846145,2.5,2.5,2.5,2.5000001,,,,,,,Jovian,,,17.916826,17 55 00.5746,-31 28 08.5980,,,,,,,,,,,,0.33991562,0,0,,0,,Scorpius,Sco,Scorpion,10.963785,83.700005,2.5
OGLE-2014-BLG-1760L b,3,177.98368,-82.635281,108.06152,,,,2016,10-11-2016,,,,1.75,-0.33,0.34,,,,,,,,,,,,,0.255,,,,,,,,Microlensing,,,,,OGLE-2014-BLG-1760L,269.409,-28.963158,,6860,-1110,1110,,,,0.51,-0.28,0.44,,,,,,,,,,,,,,",",,,,,0.12324234,1.75,1.75,1.75,1.75,,,,,,,Jovian,,,17.960601,17 57 38.1627,-28 57 47.3688,,,,,,,,,,,,0.36858799,0,0,,0,,Sagittarius,Sgr,Archer,14.122361,177.98368,1.75
OGLE-2015-BLG-0051L b,3,228.83616,-22.24796,206.5882,,,,2016,06-10-2016,,,,0.73,-0.08,0.08,,,,,,,,,,,,,0.089,,,,,,,,Microlensing,,,,,OGLE-2015-BLG-0051L,269.66254,-28.031694,,8200,-900,900,,,,0.1,-0.01,0.09,,,,,,,,,,,,,,",",,,,,0.096223901,0.73,0.73,0.73,0.73000002,,,,,,,Jovian,,,17.977503,17 58 39.0123,-28 01 54.0984,,,,,,,,,,,,0.21413342,0,0,,0,,Sagittarius,Sgr,Archer,13.967059,228.83616,0.73
OGLE-2015-BLG-0954L b,3,1080.6152,-508.5248,1175.9636,,,,2016,01-11-2018,,,,1.6,-0.7,1.3,,,,,,,,,,,,,2.67,,,,,,,,Microlensing,,,,,OGLE-2015-BLG-0954L,270.18433,-28.660889,,600,-200,400,,,,0.3,-0.14,0.34,,,,,,,,,,,,,,",",,,,,0.24533253,1.6,1.6,1.6,1.6,,,,,,,Jovian,,,18.01229,18 00 44.2433,-28 39 39.2004,,,,,,,,,,,,0.30883383,0,0,,0,,Sagittarius,Sgr,Archer,13.044953,1080.6152,1.6
OGLE-2015-BLG-0966L b,3,20.998896,-1.9991381,1.9991381,,,,2016,17-03-2016,,,,2.1,,,,,,,,,,,,,,,0.84,,,,,,,,Microlensing,,,,,OGLE-2015-BLG-0966L,268.75425,-29.047111,,2500,,,,,,0.38,-0.04,0.04,,,,,,,,,,,,,,",",,,,,0.080009603,2.1,2.1,2.1,2.1000001,,,,,,,Neptunian,,,17.916951,17 55 01.0234,-29 02 49.5996,,,,,,,,,,,,0.33415322,0,0,,0,,Sagittarius,Sgr,Archer,4.8556671,20.998896,2.1
OGLE-2015-BLG-1670L b,3,17.900073,-8.8006574,9.5984057,,,,2019,11-07-2019,,,,2.62,-0.6,0.58,,,,,,,,,,,,,0.391,,,,,,,,Microlensing,,,,,OGLE-2015-BLG-1670L,268.15879,-28.551917,,6700,-1300,1000,,,,0.55,-0.28,0.28,,,,,,,,,,,,,,",",,,,,0.083672715,2.62,2.62,2.62,2.6200001,,,,,,,Neptunian,,,17.877254,17 52 38.1134,-28 33 06.9012,,,,,,,,,,,,0.37798279,0,0,,0,,Sagittarius,Sgr,Archer,4.4198413,17.900073,2.62
OGLE-2016-BLG-0263L b,3,1303.0948,-794.57001,2065.882,,,,2017,28-09-2017,,,,5.4,-1.6,1.1,,,,,,,,,,,,,0.831,,,,,,,,Microlensing,,,,,OGLE-2016-BLG-0263L,269.89542,-31.818611,,6500,-1900,1300,,,,0.13,-0.08,0.21,,,,,,,,,,,,,,",",,,,,1.1646351,5.4,5.4,5.4,5.4000001,,,,,,,Jovian,,,17.993029,17 59 34.9032,-31 49 06.9996,,,,,,,,,,,,0.23370369,0,0,,0,,Sagittarius,Sgr,Archer,12.93794,1303.0948,5.4
OGLE-2016-BLG-0613L AB b,3,1328.5211,-772.32205,1013.8713,,,,2017,30-11-2017,,,,6.4,-2.63,2.51,,,,,,,,,,,,,1.88,,,,,,,,Microlensing,,,,,OGLE-2016-BLG-0613L AB,269.26041,-28.116167,,3410,-1420,1340,,,,0.72,-0.42,0.55,,,,,,,,,,,,,,",",,,,,0.78519436,6.4,6.4,6.4,6.4000002,,,,,,,Jovian,,,17.950695,17 57 02.5008,-28 06 58.2012,,,,,,,,,,,,0.41348709,0,0,,0,,Sagittarius,Sgr,Archer,12.926943,1328.5211,6.4
OGLE-2016-BLG-1190L b,3,4252.5387,-260.61896,279.68864,,,,2017,30-11-2017,1224,-300,1896,2.17,-0.38,1.87,,,,41.2,-10.29,11.95,,,,2456989.8,-434.1,423.2,0.321,,,,,,,,Microlensing,,,,,OGLE-2016-BLG-1190L,269.71793,-27.613556,,6770,-90,80,,,,0.88,-0.05,0.06,,,,,,,,,,,,,,",",,,,,0.36697247,2.17,2.17,2.17,2.1700001,,,,,,,Jovian,,,17.981196,17 58 52.3056,-27 36 48.8016,,,,,,,,,,,,0.44209135,0,0,,0,,Sagittarius,Sgr,Archer,12.281842,4252.5387,2.17
OGLE-2016-BLG-1195L b,3,1.430226,-0.32100628,0.45131576,,,,2017,10-05-2017,,,,1.16,-0.13,0.16,,,,,,,,,,,,,0.297,,,,,,,,Microlensing,,,,,OGLE-2016-BLG-1195L,268.84793,-30.207251,,3910,-460,420,,,,0.08,-0.01,0.02,,,,,,,,,,,,,,",",,,,,0.030339942,1.16,1.16,1.16,1.16,,,,,,,Terran,,,17.923196,17 55 23.5068,-30 12 26.1036,,,,,,,,,,,,0.19878386,0,0,,0,,Scorpius,Sco,Scorpion,1.1138288,1.430226,1.16
OGLE-2017-BLG-0173L b,3,3.2704502,-2.0150295,3.8488971,,,,2018,26-03-2018,,,,3.913,-1.649,1.615,,,,,,,,,,,,,0.832,,,,,,,,Microlensing,,,,,OGLE-2017-BLG-0173L,267.97061,-29.27136,,4705,-1763,1468,,,,0.4,-0.23,0.39,,,,,,,,,,,,,,",",,,,,0.078851668,3.913,3.913,3.913,3.9130001,,,,,,,Terran,,,17.864708,17 51 52.9502,-29 16 16.8960,,,,,,,,,,,,0.33991562,0,0,,0,,Sagittarius,Sgr,Archer,1.623974,3.2704502,3.913
OGLE-2017-BLG-0373L b,3,127.44903,-81.681797,202.45644,,,,2018,26-04-2018,,,,2.424,-0.783,0.757,,,,,,,,,,,,,0.41,,,,,,,,Microlensing,,,,,OGLE-2017-BLG-0373L,269.32941,-31.951723,,5915,-1478,1123,,,,0.25,-0.13,0.27,,,,,,,,,,,,,,",",,,,,0.19369422,2.424,2.424,2.424,2.4240001,,,,,,,Jovian,,,17.955295,17 57 19.0611,-31 57 06.2028,,,,,,,,,,,,0.29062376,0,0,,0,,Scorpius,Sco,Scorpion,14.044892,127.44903,2.424
OGLE-2017-BLG-0482L b,3,9.000889,-4.5004445,9.000889,,,,2018,21-06-2018,,,,1.8,-0.7,0.6,,,,,,,,,,,,,0.31,,,,,,,,Microlensing,,,,,OGLE-2017-BLG-0482L,269.04889,-30.52836,,5800,-2100,1800,,,,0.2,-0.1,0.2,,,,,,,,,,,,,,",",,,,,0.064043665,1.8,1.8,1.8,1.8,,,,,,,Superterran,,,17.936594,17 56 11.7367,-30 31 42.0960,,,,,,,,,,,,0.2697912,0,0,,0,,Scorpius,Sco,Scorpion,2.9481483,9.000889,1.8
OGLE-2017-BLG-1140L b,3,505.34652,-82.635281,111.2398,,,,2018,21-06-2018,,,,1.02,-0.15,0.15,,,,,,,,,,,,,,,,,,,,,Microlensing,,,,,OGLE-2017-BLG-1140L,266.88306,-24.522667,,,,,,,,0.21,-0.03,0.03,,,,,,,,,,,,,,",",,,,,0.13672315,1.02,1.02,1.02,1.02,,,,,,,Jovian,,,17.792205,17 47 31.9370,-24 31 21.6012,,,,,,,,,,,,0.2742148,0,0,,0,,Sagittarius,Sgr,Archer,13.488577,505.34652,1.02
