P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
HD 145934 b,3,724.64785,-82.635281,82.635281,,,,2015,08-01-2015,2730,-100,100,4.6,-0.14,0.14,0.053,-0.063,0.053,,,,215,-62,62,2451430,-370,370,20.1,,,,,,,,Radial Velocity,,,,,HD 145934,243.29114,13.239476,8.5,229.35,-2.41,2.41,,,,1.75,-0.1,0.1,5.38,-0.44,0.44,K0,,,,,,,,,3.23,"HD 145934,",,,,,0.32478004,4.6064607,4.3562,4.8438,4.601617,,,,,,,Jovian,5.38,K,16.21941,16 13 09.8766,+13 14 22.1136,,,,,,,,,,,,0.55594327,0,0,,0,,Hercules,Her,Hercules,13.276343,724.64785,4.6
HD 1461 b,3,6.4391953,-0.61022977,0.61022977,,,,2010,19-11-2015,5.77152,-0.00045,0.00045,0.0634,-0.0022,0.0022,0.172,,,,,,,,,,,,2.7,,,,,,,,Radial Velocity,,,,,HD 1461,4.674448,-8.053001,6.47,23.47,-0.03,0.03,0.19,-0.01,0.01,1.02,,,,,,G0 V,,,,5765,-18,18,,,4.38,"HD 1461, HIP 1499",,,,,0.00097047,0.064337813,0.0524952,0.0743048,0.063636767,290.68885,208.47411,417.68288,1046.0738,968.07263,1151.7456,Superterran,1.0784499,G,0.31162988,00 18 41.8676,-08 03 10.8036,1.1510279,0.80577325,1.8990354,1.0206121,1.8004582,1.0792518,1.8004582,0.98520648,1.8004582,2.8967212,1.9970279,0.46439177,0,0,Hot,0,0.23882412,Cetus,Cet,Whale,2.4203436,6.4391953,0.0634
HD 1461 c,3,5.5905946,-0.73100441,0.73100441,,,,2015,19-11-2015,13.5052,-0.0029,0.0029,0.1117,-0.0039,0.0039,0.305,,,,,,,,,,,,4.76,,,,,,,,Radial Velocity,,,,,HD 1461,4.674448,-8.053001,6.47,23.47,-0.03,0.03,0.19,-0.01,0.01,1.02,,,,,,G0 V,,,,5765,-18,18,,,4.38,"HD 1461, HIP 1499",,,,,0.001369123,0.11689545,0.0776315,0.1457685,0.11304034,96.86834,54.169957,190.98968,784.87348,691.16945,947.10338,Superterran,1.0784499,G,0.31162988,00 18 41.8676,-08 03 10.8036,1.1510279,0.80577325,1.8990354,1.0206121,1.8004582,1.0792518,1.8004582,0.98520648,1.8004582,2.8967212,1.9970279,0.46439177,0,0,Hot,0,0.25699041,Cetus,Cet,Whale,2.2270398,5.5905946,0.1117
HD 147018 b,3,673.79537,-22.24796,22.24796,,,,2009,31-01-2019,44.236,-0.008,0.008,0.2388,-0.0039,0.0039,0.4686,-0.0081,0.0081,,,,-24.03,-1.23,1.23,2454459.5,-0.1,0.1,5.56,,,,,,,,Radial Velocity,,,,,HD 147018,245.75061,-61.688763,8.3,42.96,-1.59,1.59,0.1,-0.05,0.05,0.93,-0.03,0.03,,,,G9 V,6.36,-4.33,4.33,5441,-55,55,,,4.42,"HD 147018, HIP 80250",,,,,0.01140047,0.26501856,0.12689832,0.35070168,0.24588282,15.074923,6.1746252,47.160082,479.62565,401.60357,667.63416,Jovian,0.98342529,G,16.383375,16 23 00.1495,-61 41 19.5468,0.75942746,0.66700503,1.5871446,0.84485208,1.504757,0.89366946,1.504757,0.81557937,1.504757,2.3529187,1.1098634,0.47529364,0,0,Hot,0,0.13201288,Triangulum Australe,TrA,Southern Triangle,13.318914,673.79537,0.2388
HD 147018 c,3,2084.9517,-101.70496,101.70496,,,,2009,31-01-2019,1008,-18,18,1.922,-0.039,0.039,0.133,-0.011,0.011,,,,-133.1,-6.9,6.9,2455301,-22,22,44.7,,,,,,,,Radial Velocity,,,,,HD 147018,245.75061,-61.688763,8.3,42.96,-1.59,1.59,0.1,-0.05,0.05,0.93,-0.03,0.03,,,,G9 V,6.36,-4.33,4.33,5441,-55,55,,,4.42,"HD 147018, HIP 80250",,,,,0.21815343,1.9389991,1.666374,2.177626,1.9262747,0.2074221,0.16014733,0.27348993,171.35918,161.16652,184.23844,Jovian,0.98342529,G,16.383375,16 23 00.1495,-61 41 19.5468,0.75942746,0.66700503,1.5871446,0.84485208,1.504757,0.89366946,1.504757,0.81557937,1.504757,2.3529187,1.1098634,0.47529364,0,0,Cold,0,0.23850798,Triangulum Australe,TrA,Southern Triangle,12.673128,2084.9517,1.922
HD 147379 b,3,28.55049,-1.4492957,1.4906133,,,,2017,08-11-2018,86.78,-0.15,0.16,0.323,-0.006,0.005,0.07,-0.04,0.04,,,,97.22,-41.83,30.39,2455468.3,-10.67,8.52,30,,,,,,,,Radial Velocity,,,,,HD 147379,244.17812,67.238846,8.896,10.77,0,0,0.19,-0.08,0.08,0.6,-0.07,0.07,,,,M1,,,,4156,-73,73,,,,"HD 147379 A, HIP 79755",,,,,0.010888251,0.32379135,0.30039,0.34561,0.32319816,,,,,,,Neptunian,,M,16.278542,16 16 42.7509,+67 14 19.8456,,,,,,,,,,,0.10545424,0.38910625,0,0,,0,,Draco,Dra,Dragon,5.8187752,28.55049,0.323
HD 147513 b,3,384.57188,,,,,,2003,31-01-2019,528.4,-6.3,6.3,1.32,,,0.26,-0.05,0.05,,,,282,-9,9,2451123,-20,20,102,,,,,,,,Radial Velocity,,,,,HD 147513,246.00537,-39.192982,5.39,12.91,-0.02,0.02,0.06,,,1.11,,,,,,G3/5 V,0.3,,,5883,,,,,4.51,"HD 147513, HIP 80337",,,,,0.068623949,1.364616,0.9768,1.6632,1.3314097,0.59849127,0.36401381,1.0553476,221.1774,197.89024,258.22233,Jovian,0.96863775,G,16.400359,16 24 01.2921,-39 11 34.7352,1.0069475,0.74830356,1.758235,0.94781647,1.6669667,1.0021691,1.6669667,0.91491988,1.6669667,2.7093629,2.5157472,0.30305354,1,1,Warm,0,0.36410787,Scorpius,Sco,Scorpion,13.651647,384.57188,1.32
HD 14787 b,3,356.28519,-21.930132,21.930132,,,,2018,06-12-2018,676.6,-8.1,8.1,1.7,-0.19,0.19,0.155,-0.073,0.073,,,,343,-28,28,2455555,-49,49,14.2,,,,,,,,Radial Velocity,,,,,HD 14787,35.808552,10.836746,7.63,119.54,-0.75,0.75,,,,1.43,,,5.01,,,G5,,,,4946,,,,,3.23,"HD 14787, HIP 11130",,,,,0.090415887,1.7204213,1.4365,1.9635,1.7051462,4.7137154,3.4907499,6.5218272,373.68807,348.23674,407.13387,Jovian,5.01,G,2.3872369,02 23 14.0529,+10 50 12.2856,13.458001,2.8807422,6.9800642,3.6488888,6.6177255,3.8617883,6.6177255,3.5226094,6.6177255,9.9049901,0.54730005,0.51975237,0,0,Hot,0,0.2355334,Aries,Ari,Ram,13.697615,356.28519,1.7
HD 147873 b,3,1633.6359,-108.06152,108.06152,,,,2016,10-11-2016,116.596,-0.023,0.023,0.522,-0.018,0.018,0.207,-0.013,0.013,,,,80.21,-2.86,2.86,,,,4.77,,,,,,,,Radial Velocity,,,,,HD 147873,246.43814,-33.56712,7.96,109.38,-1.01,1.01,0.03,-0.1,0.1,1.38,-0.05,0.05,2.29,-0.1,0.1,G1 V,4,-3,3,5972,-100,100,,,3.86,"HD 147873, HIP 80486",,,,,0.043801364,0.53318359,0.413946,0.630054,0.52483605,22.418553,15.055087,34.877988,549.84817,501.84052,619.13131,Jovian,2.29,G,16.42921,16 25 45.1569,-33 34 01.6320,5.9763883,1.8131795,4.2512031,2.2966042,4.0305273,2.4281187,4.0305273,2.2168635,4.0305273,6.6005964,3.1520289,0.50179678,0,0,Hot,0,0.11461446,Scorpius,Sco,Scorpion,12.809885,1633.6359,0.522
HD 147873 c,3,731.00441,-57.209041,57.209041,,,,2016,10-11-2016,491.54,-0.79,0.79,1.36,-0.05,0.05,0.23,-0.03,0.03,,,,41.83,-11.46,11.46,,,,12.4,,,,,,,,Radial Velocity,,,,,HD 147873,246.43814,-33.56712,7.96,109.38,-1.01,1.01,0.03,-0.1,0.1,1.38,-0.05,0.05,2.29,-0.1,0.1,G1 V,4,-3,3,5972,-100,100,,,3.86,"HD 147873, HIP 80486",,,,,0.084754314,1.395972,1.0472,1.6728,1.3691532,3.320191,2.1357517,5.4497871,340.4306,307.98715,389.26001,Jovian,2.29,G,16.42921,16 25 45.1569,-33 34 01.6320,5.9763883,1.8131795,4.2512031,2.2966042,4.0305273,2.4281187,4.0305273,2.2168635,4.0305273,6.6005964,3.1520289,0.50179678,0,0,Hot,0,0.2831365,Scorpius,Sco,Scorpion,13.271242,731.00441,1.36
